Product,Issue,Company
Credit card,Closing/Cancelling account,Synchrony Financial
Credit card,Transaction issue,JPMorgan Chase & Co.
Credit card,APR or interest rate,Synchrony Financial
Credit card,Billing statement,Capital One
Credit card,Billing disputes,HSBC North America Holdings Inc.
Credit card,Identity theft / Fraud / Embezzlement,USAA Savings
Credit card,Closing/Cancelling account,Amex
Credit card,Billing statement,Synchrony Financial
Credit card,Advertising and marketing,Amex
Credit card,Other,"Portfolio Recovery Associates, Inc."
Credit card,Credit line increase/decrease,Discover
Credit card,Other fee,Citibank
Credit card,Other,Amex
Credit card,Identity theft / Fraud / Embezzlement,JPMorgan Chase & Co.
Credit card,Sale of account,Encore Capital Group
Credit card,Billing disputes,Synchrony Financial
Credit card,Other,Citibank
Credit card,Delinquent account,Barclays PLC
Credit card,Other,USAA Savings
Credit card,Privacy,Citibank
Credit card,Transaction issue,Discover
Credit card,Closing/Cancelling account,JPMorgan Chase & Co.
Credit card,Billing disputes,Capital One
Credit card,Billing disputes,Synchrony Financial
Credit card,Late fee,Bank of America
Credit card,Credit card protection / Debt protection,Capital One
Credit card,Late fee,Synchrony Financial
Credit card,Other,Pentagon FCU
Credit card,Other fee,JPMorgan Chase & Co.
Credit card,APR or interest rate,Synchrony Financial
Credit card,Credit line increase/decrease,"Continental Finance Company, LLC"
Credit card,Closing/Cancelling account,Discover
Credit card,APR or interest rate,Capital One
Credit card,Cash advance fee,JPMorgan Chase & Co.
Credit card,Other,Capital One
Credit card,Closing/Cancelling account,TD Bank US Holding Company
Credit card,Closing/Cancelling account,JPMorgan Chase & Co.
